Rate Date,Currency,Rate Year,Rate Month,Buying Rate,Central Rate,Selling rate
8/26/2016,POUNDS STERLING,2016,August,401.6752,402.3359,402.9965
6/3/2002,US DOLLAR,2002,June,115.8,116.3,116.8
10/2/2007,WAUA,2007,October,191.3185,192.0937,192.8689
3/31/2011,POUNDS STERLING,2011,March,242.1867,242.9912,243.7957
8/4/2011,WAUA,2011,August,239.3177,240.1167,240.9156
5/25/2015,POUNDS STERLING,2015,May,302.9964,303.7694,304.5423
7/16/2020,WAUA,2020,July,423.5161,424.1043,424.6925
6/23/2008,POUNDS STERLING,2008,June,226.77,227.7505,228.731
1/23/2023,POUNDS STERLING,2023,January,567.5234,568.1412,568.759
7/18/2013,POUNDS STERLING,2013,July,235.4209,236.1815,236.9421
2/16/2015,US DOLLAR,2015,February,167.0,167.5,168.0
2/20/2015,US DOLLAR,2015,February,198.0,198.5,199.0
4/2/2024,US DOLLAR,2023,April,1329.756,1330.256,1330.756
5/17/2018,EURO,2018,May,359.9059,360.4962,361.0865
12/19/2019,WAUA,2019,December,421.3644,422.053,422.7416
5/6/2011,US DOLLAR,2011,May,152.03,152.53,153.03
4/21/2004,EURO,2004,April,157.0661,157.6592,158.2524
1/16/2015,EURO,2015,January,193.4862,194.0655,194.6448
9/26/2019,US DOLLAR,2019,September,305.95,306.45,306.95
1/16/2023,WAUA,2023,January,608.9328,609.6048,610.2768
11/28/2013,WAUA,2013,November,236.765,237.5302,238.2953
5/30/2022,US DOLLAR,2022,May,414.57,415.07,415.57
5/30/2008,WAUA,2008,May,188.1337,188.947,189.7603
10/4/2011,POUNDS STERLING,2011,October,236.329,237.0983,237.8676
1/23/2013,EURO,2013,January,206.1468,206.8129,207.4791
1/19/2017,US DOLLAR,2017,January,304.5,305.0,305.5
2/2/2024,POUNDS STERLING,2024,February,1731.6158,1732.249,1732.8823
1/19/2017,WAUA,2017,January,411.8033,412.4795,413.1557
8/1/2017,WAUA,2017,August,428.1692,428.8721,429.5749
6/17/2002,POUNDS STERLING,2002,June,175.1458,175.8845,176.6232
12/9/2002,WAUA,2002,December,166.3262,166.9867,167.6472
11/28/2016,POUNDS STERLING,2016,November,377.1787,377.7986,378.4184
8/11/2011,POUNDS STERLING,2011,August,242.0559,242.8641,243.6723
12/4/2003,EURO,2003,December,164.6327,165.2357,165.8388
4/10/2008,US DOLLAR,2008,April,115.7,116.2,116.7
5/24/2007,WAUA,2007,May,188.749,189.5025,190.256
9/22/2015,WAUA,2015,September,275.6977,276.401,277.1043
11/3/2015,POUNDS STERLING,2015,November,301.7112,302.481,303.2507
6/7/2017,WAUA,2017,June,421.8931,422.5857,423.2782
8/2/2004,US DOLLAR,2004,August,131.8,132.3,132.8
6/7/2007,WAUA,2007,June,189.2034,189.959,190.7146
5/11/2007,POUNDS STERLING,2007,May,248.0314,249.0212,250.0109
3/11/2024,POUNDS STERLING,2024,March,2065.8197,2066.4606,2067.1014
10/18/2013,WAUA,2013,October,237.3307,238.0972,238.8637
2/22/2006,US DOLLAR,2006,February,127.0,127.5,128.0
9/9/2003,WAUA,2003,September,175.1715,175.8568,176.542
3/2/2022,EURO,2022,March,461.1742,461.7294,462.2845
10/30/2020,WAUA,2020,October,534.4401,535.1451,535.8502
6/22/2005,WAUA,2005,June,192.1117,192.84,193.5684
8/3/2012,POUNDS STERLING,2012,August,241.0396,241.8178,242.5961
3/8/2018,US DOLLAR,2018,March,304.8,305.3,305.8
2/26/2002,WAUA,2002,February,140.2497,140.1895,140.1293
5/19/2003,US DOLLAR,2003,May,126.72,127.22,127.72
7/31/2019,EURO,2019,July,341.0228,341.5803,342.1378
3/24/2020,US DOLLAR,2020,March,360.0,360.5,361.0
1/4/2017,POUNDS STERLING,2017,January,373.5552,374.1696,374.784
4/18/2005,WAUA,2005,April,197.5041,198.253,199.0019
2/17/2017,US DOLLAR,2017,February,304.5,305.0,305.5
9/15/2003,POUNDS STERLING,2003,September,205.1007,205.902,206.7033
6/16/2022,US DOLLAR,2022,June,414.87,415.37,415.87
7/6/2018,US DOLLAR,2018,July,304.7,305.2,305.7
12/31/2018,EURO,2018,December,350.1864,350.7586,351.3308
10/13/2014,POUNDS STERLING,2014,October,249.1011,249.9059,250.7108
7/19/2011,US DOLLAR,2011,July,149.0,149.5,150.0
7/22/2016,EURO,2016,July,329.3186,329.8693,330.42
6/13/2012,WAUA,2012,June,233.6784,234.4327,235.187
6/29/2021,US DOLLAR,2021,June,409.16,409.66,410.16
4/25/2018,WAUA,2018,April,439.5599,440.2813,441.0027
9/30/2002,EURO,2002,September,123.2585,123.7506,124.2426
3/14/2002,POUNDS STERLING,2002,March,163.1312,163.8399,164.5485
2/4/2015,POUNDS STERLING,2015,February,254.1072,254.868,255.6288
8/19/2002,US DOLLAR,2002,August,124.0,124.5,125.0
3/6/2003,US DOLLAR,2003,March,126.2,126.7,127.2
5/12/2020,US DOLLAR,2020,May,360.0,360.5,361.0
10/23/2013,WAUA,2013,October,237.7097,238.4761,239.2426
11/18/2002,POUNDS STERLING,2002,November,198.9185,199.7088,200.4991
